Season,A_TeamName,B_TeamName,TeamA,TeamB,Win,A_Score,B_Score,A_Seed,B_Seed
2023,TAM C. Christi,SE Missouri St,1394,1369,1,75,71,X16b,X16a
2023,Pittsburgh,Mississippi St,1338,1280,1,60,59,Y11b,Y11a
2023,TX Southern,F Dickinson,1411,1192,0,61,84,W16b,W16a
2023,Nevada,Arizona St,1305,1113,0,98,73,Z11b,Z11a
2023,TAM C. Christi,Alabama,1394,1104,0,75,96,X16b,X01
2023,West Virginia,Maryland,1452,1268,0,65,67,X09,X08
2023,San Diego St,Col Charleston,1361,1158,1,63,57,X05,X12
2023,Virginia,Furman,1438,1202,0,67,68,X04,X13
2023,NC State,Creighton,1301,1166,0,63,72,X11,X06
2023,UC Santa Barbara,Baylor,1364,1124,0,56,74,X14,X03
2023,Utah St,Missouri,1429,1281,0,65,76,X10,X07
2023,Princeton,Arizona,1343,1112,1,59,55,X15,X02
2023,Purdue,F Dickinson,1345,1192,0,58,63,W01,W16a
2023,Memphis,FL Atlantic,1272,1194,0,65,66,W08,W09
2023,Oral Roberts,Duke,1331,1181,0,51,74,W12,W05
2023,Louisiana,Tennessee,1418,1397,0,55,58,W13,W04
2023,Providence,Kentucky,1344,1246,0,53,61,W11,W06
2023,Montana St,Kansas St,1286,1243,0,65,77,W14,W03
2023,USC,Michigan St,1425,1277,0,62,72,W10,W07
2023,Vermont,Marquette,1436,1266,0,61,78,W15,W02
2023,N Kentucky,Houston,1297,1222,0,52,63,Y16,Y01
2023,Iowa,Auburn,1234,1120,0,75,83,Y08,Y09
2023,Miami FL,Drake,1274,1179,1,63,56,Y05,Y12
2023,Kent,Indiana,1245,1231,0,60,71,Y13,Y04
2023,Pittsburgh,Iowa St,1338,1235,1,59,41,Y11b,Y06
2023,Xavier,Kennesaw,1462,1244,1,72,67,Y03,Y14
2023,Texas A&M,Penn St,1401,1336,0,59,76,Y07,Y10
2023,Texas,Colgate,1400,1159,1,81,61,Y02,Y15
2023,Kansas,Howard,1242,1224,1,96,68,Z01,Z16
2023,Illinois,Arkansas,1228,1116,0,63,73,Z09,Z08
2023,VCU,St Mary's CA,1433,1388,0,51,63,Z12,Z05
2023,Iona,Connecticut,1233,1163,0,63,87,Z13,Z04
2023,TCU,Arizona St,1395,1113,1,72,70,Z06,Z11a
2023,Grand Canyon,Gonzaga,1213,1211,0,70,82,Z14,Z03
2023,Northwestern,Boise St,1321,1129,1,75,67,Z07,Z10
2023,UNC Asheville,UCLA,1421,1417,0,53,86,Z15,Z02
2023,Maryland,Alabama,1268,1104,0,51,73,X08,X01
2023,San Diego St,Furman,1361,1202,1,75,52,X05,X13
2023,Creighton,Baylor,1166,1124,1,85,76,X06,X03
2023,Princeton,Missouri,1343,1281,1,78,63,X15,X07
2023,FL Atlantic,F Dickinson,1194,1192,1,78,70,W09,W16a
2023,Tennessee,Duke,1397,1181,1,65,52,W04,W05
2023,Kentucky,Kansas St,1246,1243,0,69,75,W06,W03
2023,Michigan St,Marquette,1277,1266,1,69,60,W07,W02
2023,Houston,Auburn,1222,1120,1,81,64,Y01,Y09
2023,Miami FL,Indiana,1274,1231,1,85,69,Y05,Y04
2023,Xavier,Pittsburgh,1462,1338,1,84,73,Y03,Y11b
2023,Texas,Penn St,1400,1336,1,71,66,Y02,Y10
2023,Kansas,Arkansas,1242,1116,0,71,72,Z01,Z08
2023,St Mary's CA,Connecticut,1388,1163,0,55,70,Z05,Z04
2023,TCU,Gonzaga,1395,1211,0,81,84,Z06,Z03
2023,UCLA,Northwestern,1417,1321,1,68,63,Z02,Z07
2023,San Diego St,Alabama,1361,1104,1,71,64,X05,X01
2023,Princeton,Creighton,1343,1166,0,75,86,X15,X06
2023,Tennessee,FL Atlantic,1397,1194,0,55,62,W04,W09
2023,Michigan St,Kansas St,1277,1243,0,93,98,W07,W03
2023,Miami FL,Houston,1274,1222,1,89,75,Y05,Y01
2023,Xavier,Texas,1462,1400,0,71,83,Y03,Y02
2023,Connecticut,Arkansas,1163,1116,1,88,65,Z04,Z08
2023,UCLA,Gonzaga,1417,1211,0,76,79,Z02,Z03
2023,San Diego St,Creighton,1361,1166,1,57,56,X05,X06
2023,Kansas St,FL Atlantic,1243,1194,0,76,79,W03,W09
2023,Texas,Miami FL,1400,1274,0,81,88,Y02,Y05
2023,Gonzaga,Connecticut,1211,1163,0,54,82,Z03,Z04
2023,San Diego St,FL Atlantic,1361,1194,1,72,71,X05,W09
2023,Miami FL,Connecticut,1274,1163,0,59,72,Y05,Z04
2023,San Diego St,Connecticut,1361,1163,0,59,76,X05,Z04